maxQuiescenceDepth, maxCheckSearchDepth, nullMoveReduction, minExtensionHorizon, simpleCheckExtension, attackCheckExtension, forcedMoveExtension, mateExtension, rankAttackExtension, pawnOnSevenRankExtension, protectingPawnOnSixRankExtension, recaptureMinExtension, recaptureMaxExtension, recaptureBeginMinTreshold, recaptureBeginMaxTreshold, recaptureTargetTreshold, totalTime, totalNodeCount
10, 9, 5, 7, 0.2216796875, 0.9130859375, 0.9990234375, 0.9990234375, 0.685546875, 0.9990234375, 0.9990234375, 0.0576171875, 0.349609375, 2.823, 8.601, 1.07, 20763, 36722724
10, 8, 1, 6, 0.0048828125, 0.9990234375, 0.9267578125, 0.71484375, 0.9990234375, 0.8095703125, 0.9990234375, 0.0888671875, 0.9990234375, 6.035, 6.059, 0.0, 20569, 36202051
1, 0, 4, 3, 0.0859375, 0.923828125, 0.9990234375, 0.9990234375, 0.609375, 0.787109375, 0.72265625, 0.0771484375, 0.9990234375, 3.721, 4.014, 0.0, 20966, 37752139
16, 12, 3, 5, 0.5234375, 0.9990234375, 0.974609375, 0.9990234375, 0.75390625, 0.9990234375, 0.8427734375, 0.3076171875, 0.5966796875, 0.314, 8.964, 4.091, 20159, 35164408
8, 7, 5, 7, 0.349609375, 0.7421875, 0.318359375, 0.9990234375, 0.9658203125, 0.9990234375, 0.6162109375, 0.2490234375, 0.8671875, 0.0, 8.981, 0.0, 20569, 36466594
17, 8, 4, 4, 0.375, 0.9990234375, 0.8076171875, 0.9990234375, 0.7568359375, 0.4130859375, 0.5791015625, 0.0, 0.90625, 5.979, 7.611, 0.0, 20768, 37017000
4, 3, 5, 3, 0.6015625, 0.982421875, 0.671875, 0.9990234375, 0.876953125, 0.96484375, 0.5986328125, 0.02734375, 0.072265625, 7.93, 7.931, 0.35, 19964, 34585429
1, 0, 2, 7, 0.125, 0.8349609375, 0.9990234375, 0.408203125, 0.6103515625, 0.970703125, 0.8623046875, 0.0, 0.9990234375, 0.0, 5.148, 5.168, 20768, 36127927
6, 5, 4, 5, 0.0029296875, 0.71875, 0.9990234375, 0.9990234375, 0.9990234375, 0.5009765625, 0.9990234375, 0.1259765625, 0.873046875, 0.908, 8.999, 1.275, 19970, 37081519
1, 0, 3, 5, 0.9990234375, 0.9990234375, 0.51953125, 0.9990234375, 0.9990234375, 0.9990234375, 0.9990234375, 0.2392578125, 0.998046875, 0.0, 8.681, 0.0, 19961, 34132170
